f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,label
-0.36676282,-2.2501802,-0.58479893,-1.3272341,-1.0281558,-1.4485025,0.60829425,-2.4721346,0.7112465,-1.0424023,0.48136505,0.10789677,-0.30150488,0.028364379,-0.5308051,1.6045476,-0.16046669,2.729935,0.30150488,-0.028364668,-0.30439433,1.5261701,-0.08452873,2.7945132,0
-0.36672145,-1.7840054,-0.66504174,-1.028365,-0.6898451,-0.13163593,0.63324094,-1.7753323,0.88312376,-1.0406351,0.62512565,-0.43483633,-0.30448577,-0.008341402,-0.24354187,1.4372443,-0.10589928,2.6816993,0.304485,0.008341024,0.18035096,1.4484264,0.09111709,2.683959,0
-0.5213359,-1.7701974,-0.7782598,-0.923967,0.1077579,-0.8228187,0.47520563,-1.8532927,0.68307996,-0.98977274,0.7510998,-0.66477317,-0.3490087,0.03455481,-0.43551734,1.5864518,-0.9425863,3.112115,0.3490085,-0.03455481,0.37299523,1.4051576,0.11485163,2.9372866,0
0.54729927,-4.680414,0.15324138,-2.3911495,-1.3015206,-1.0472355,-0.44895184,-4.5939054,-1.0267049,-2.2773473,-1.7504017,-1.0413318,0.28979367,-0.008002585,-1.1999396,3.8571098,-0.4745187,7.109744,-0.28979367,0.008002585,-1.0972608,3.434558,0.7357478,6.617522,0
-0.56550074,-1.7832896,-0.7900065,-1.0310265,-0.9678963,-0.5154089,0.4344513,-1.7930886,0.75732046,-1.0349146,0.60023254,-0.5376876,-0.31432498,0.004841667,-0.255634,1.3222886,-0.09263873,2.5100057,0.31432614,-0.004841667,0.3193511,1.315729,0.44009963,2.512594,0
0.21178555,-1.2123399,-0.6003361,-0.89743334,-0.7609103,-0.28461474,1.1312894,-0.81925863,1.238187,0.002570767,1.2608936,0.67171276,-0.3370909,-0.065339096,-0.67775285,1.0492887,-1.5451198,2.3137345,0.3370912,0.065339096,0.7622501,0.9087926,0.31726357,1.8245713,0
3.36599,-1.5008572,2.4385312,0.802974,3.474407,0.8384797,3.3465269,-0.5010466,2.7488022,0.9855257,4.5789037,-0.03226995,-0.021267967,-0.31000185,-1.294808,1.0914627,-2.5086617,1.2684246,0.021267967,0.31000218,-0.76768756,1.6704721,-2.6532173,1.222611,0
-1.4837098,-0.80351603,-1.2018225,0.04662969,-1.465318,0.35176733,-0.50736696,-1.019744,0.091670744,-0.06020891,0.15971193,0.85505354,-0.31973296,0.022888672,-0.84035593,0.9706488,-0.5233699,1.304317,0.31973296,-0.022888672,-0.005075582,1.0497869,0.30705205,1.5231094,0
0.81791854,-1.3507316,1.2479227,-0.95478386,1.2473378,-1.6520363,-0.06003133,-1.8294842,-0.07532538,-1.863113,0.4271873,-1.9160551,0.26081648,0.080824815,-0.051997673,1.2370962,-0.4526645,2.3580961,-0.26081648,-0.080824815,-0.13270395,0.9670688,-0.38877922,1.9985654,0
-0.3663334,-2.2489064,-0.89757466,-1.2229953,-0.76926214,-0.1216888,0.6258514,-2.1241293,0.46228176,-0.9075365,0.6730648,0.19531457,-0.31429633,-0.017390724,-0.23317231,1.68026,-0.3219399,3.3932793,0.3142954,0.017390724,0.26604265,1.7107472,0.0938827,3.3539658,0
